,Product Name,Prices,Image
148,COMBRAIDED,289,https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/d/p/y/32-bi-trouser-combraided-original-imagyytzgzybuynb.jpeg?q=70
149,SCOTT,349,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/f/u/h/xl-mlm-arn-black-138-backprinttshirt-r-scott-fincher-original-imah236fuxuxqq9x.jpeg?q=70
150,Damensch,479,https://rukminim2.flixcart.com/image/612/612/xif0q/vest/c/9/d/-original-imahfwp5rby7mest.jpeg?q=70
151,XYXX,419,https://rukminim2.flixcart.com/image/612/612/xif0q/brief/u/6/v/l-2-xytrnk2pckn405-xyxx-original-imagzyyyzjggdjen.jpeg?q=70
152,VIP,430,https://rukminim2.flixcart.com/image/612/612/l12h1u80/brief/6/g/x/80-4-4-frenchie-plus-vip-original-imagcqyvt8zmmedx.jpeg?q=70
153,ARMAAN,249,https://rukminim2.flixcart.com/image/612/612/xif0q/pyjama/2/0/t/36-268kp45-armaan-ethnic-original-imahfrsbzhe9vfk5.jpeg?q=70
154,VeBNoR,299,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/m/i/n/l-frml-st2-vebnor-original-imahftabynnwqkbv.jpeg?q=70
155,SCOTT,349,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/g/c/h/xxl-mlm-arn-black-120-deviltshirt-r-scott-fincher-original-imah2362dzhssqg6.jpeg?q=70
156,XYXX,399,https://rukminim2.flixcart.com/image/612/612/xif0q/brief/v/x/w/xl-2-xytrnk2pckn416-xyxx-original-imagzyyzfetarpgh.jpeg?q=70
157,NB,429,https://rukminim2.flixcart.com/image/612/612/xif0q/track-suit/d/c/d/xl-ts8-nb-nicky-boy-original-imahyy8vjhj6b95y.jpeg?q=70
